uid,vad_threshold,vtc_threshold,iou,precision,recall,vtc_dur,vad_dur,tp
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_0_0109,0.1,0.1,0.574,0.9749,0.5826,23653.925,39582.752,23061.279
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_0_0113,0.1,0.1,0.5234,0.9921,0.5256,30389.79,57362.704,30150.905
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_0_0414,0.1,0.1,0.8157,0.9854,0.8257,47754.98,56991.2,47057.061
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_0_0563,0.1,0.1,0.7543,0.9854,0.7628,36183.125,46743.248,35656.532
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_1_1196,0.1,0.1,0.7974,0.9968,0.7994,32099.285,40026.384,31996.789
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_1_1306,0.1,0.1,0.8742,0.9926,0.88,36111.725,40734.112,35844.893
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_1_1328,0.1,0.1,0.8849,0.9827,0.8989,41835.9,45737.056,41111.652
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_1_1405,0.1,0.1,0.7586,0.9918,0.7634,38833.78,50450.368,38515.393
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_1_1698,0.1,0.1,0.7016,0.993,0.7051,40698.775,57316.064,40411.867
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_1_1801,0.1,0.1,0.806,0.9918,0.8114,46937.31,57375.44,46553.057
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_1_1862,0.1,0.1,0.7293,0.97,0.7461,29174.64,37929.568,28299.545
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_1_1931,0.1,0.1,0.3703,0.9875,0.372,21609.13,57361.648,21338.516
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_2_2101,0.1,0.1,0.6451,0.9946,0.6474,29084.01,44684.4,28927.048
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_2_2231,0.1,0.1,0.7114,0.9683,0.7284,42427.605,56405.616,41083.782
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_2_2470,0.1,0.1,0.6262,0.9942,0.6285,36371.645,57538.624,36162.183
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_2_2471,0.1,0.1,0.5843,0.9922,0.587,34016.605,57498.496,33749.69
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_2_2852,0.1,0.1,0.7935,0.9941,0.7973,37107.065,46268.48,36888.222
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_2_2941,0.1,0.1,0.4773,0.985,0.4808,27842.575,57041.216,27424.63
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_3_3024,0.1,0.1,0.7715,0.993,0.7757,44839.525,57400.032,44524.859
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_3_3108,0.1,0.1,0.6539,0.9966,0.6554,26151.335,39765.68,26061.382
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_3_3340,0.1,0.1,0.6804,0.9959,0.6823,38611.86,56360.128,38455.404
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_3_3702,0.1,0.1,0.8409,0.9869,0.8504,49145.185,57037.088,48502.226
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_3_3778,0.1,0.1,0.5818,0.9871,0.5862,14566.1,24528.464,14378.781
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_3_3895,0.1,0.1,0.891,0.9605,0.9249,44763.55,46484.192,42995.114
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_4_4073,0.1,0.1,0.5527,0.9871,0.5567,32323.04,57319.264,31907.664
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_4_4078,0.1,0.1,0.6542,0.9921,0.6576,37954.63,57258.224,37654.146
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_4_4172,0.1,0.1,0.473,0.9923,0.4747,27465.325,57408.0,27252.906
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_4_4182,0.1,0.1,0.7689,0.994,0.7724,34333.83,44182.912,34128.504
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_4_4330,0.1,0.1,0.6938,0.9916,0.6979,40404.73,57403.776,40064.249
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_4_4520,0.1,0.1,0.7126,0.9901,0.7177,22699.67,31315.152,22474.801
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_4_4524,0.1,0.1,0.4449,0.9877,0.4473,26010.275,57432.96,25691.561
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_4_4550,0.1,0.1,0.5113,0.9835,0.5157,29956.095,57128.384,29463.232
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_4_4714,0.1,0.1,0.6982,0.9896,0.7034,27651.16,38899.952,27362.781
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_4_4889,0.1,0.1,0.5547,0.9893,0.5581,32356.86,57357.28,32009.706
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_5_5074,0.1,0.1,0.7347,0.9876,0.7415,42924.065,57167.68,42390.752
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_5_5162,0.1,0.1,0.779,0.9784,0.7927,30695.535,37885.552,30031.628
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_5_5193,0.1,0.1,0.9256,0.9907,0.9337,40786.005,43273.504,40406.595
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_5_5605,0.1,0.1,0.6803,0.9887,0.6857,39751.795,57318.544,39302.367
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_6_6483,0.1,0.1,0.7295,0.9966,0.7313,34119.105,46498.816,34004.004
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_6_6499,0.1,0.1,0.585,0.9831,0.591,25036.44,41647.776,24612.569
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_6_6586,0.1,0.1,0.7198,0.9858,0.7273,42137.525,57113.952,41539.305
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_7_7362,0.1,0.1,0.5382,0.991,0.5408,31214.425,57194.176,30932.566
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_7_7377,0.1,0.1,0.5559,0.9873,0.5599,32510.295,57330.72,32098.988
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_7_7549,0.1,0.1,0.6287,0.9806,0.6367,27212.74,41911.52,26684.069
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_7_7870,0.1,0.1,0.873,0.9928,0.8786,50777.83,57378.56,50412.278
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_8_8020,0.1,0.1,0.8015,0.9903,0.8079,32633.78,40002.704,32317.347
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_8_8510,0.1,0.1,0.8871,0.9928,0.8929,49772.98,55338.544,49412.446
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_8_8594,0.1,0.1,0.6958,0.9974,0.6971,26949.025,38557.088,26877.668
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_8_8655,0.1,0.1,0.6202,0.9975,0.6212,35872.07,57603.44,35780.908
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_9_9039,0.1,0.1,0.7828,0.9907,0.7885,24554.455,30851.984,24327.271
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_9_9241,0.1,0.1,0.5867,0.9957,0.5882,34057.69,57648.624,33910.713
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_9_9998,0.1,0.1,0.8851,0.9906,0.8926,41591.24,46160.368,41201.779
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_0_0109,0.1,0.2,0.4587,0.9807,0.4629,18683.835,39582.752,18322.486
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_0_0113,0.1,0.2,0.4191,0.9929,0.4204,24285.535,57362.704,24114.074
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_0_0414,0.1,0.2,0.6715,0.9852,0.6784,39244.335,56991.2,38662.501
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_0_0563,0.1,0.2,0.6999,0.9854,0.7073,33551.12,46743.248,33060.6
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_1_1196,0.1,0.2,0.7043,0.9967,0.7059,28348.765,40026.384,28255.625
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_1_1306,0.1,0.2,0.7951,0.9923,0.8001,32841.785,40734.112,32589.869
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_1_1328,0.1,0.2,0.8191,0.9824,0.8313,38699.3,45737.056,38019.149
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_1_1405,0.1,0.2,0.693,0.9915,0.6972,35475.725,50450.368,35173.765
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_1_1698,0.1,0.2,0.5401,0.9936,0.5419,31262.255,57316.064,31061.798
