vad_threshold,vtc_threshold,mean_iou,median_iou,mean_precision,mean_recall,total_vtc_hours,total_vad_hours,total_tp_hours,vtc_vad_ratio
0.1,0.1,0.6908,0.6999,0.9886,0.6967,501.1,718.11,495.39,0.698
0.1,0.2,0.5981,0.6082,0.989,0.6026,433.06,718.11,428.18,0.603
0.1,0.3,0.5266,0.5492,0.9903,0.5296,379.8,718.11,376.05,0.529
0.1,0.4,0.4617,0.4829,0.9908,0.4639,332.56,718.11,329.41,0.463
0.1,0.5,0.3981,0.4122,0.9912,0.3997,286.5,718.11,283.91,0.399
0.1,0.6,0.3337,0.342,0.9918,0.3348,239.89,718.11,237.88,0.334
0.1,0.7,0.2679,0.2692,0.9928,0.2685,192.23,718.11,190.82,0.268
0.1,0.8,0.1946,0.1928,0.9942,0.1949,139.2,718.11,138.4,0.194
0.1,0.9,0.1071,0.1078,0.9974,0.1071,76.29,718.11,76.09,0.106
0.2,0.1,0.6018,0.605,0.8007,0.715,501.1,567.88,400.22,0.882
0.2,0.2,0.5541,0.548,0.8228,0.635,433.06,567.88,355.56,0.763
0.2,0.3,0.5112,0.5041,0.8421,0.57,379.8,567.88,319.15,0.669
0.2,0.4,0.4635,0.4588,0.8562,0.5067,332.56,567.88,283.87,0.586
0.2,0.5,0.4125,0.4113,0.8699,0.4429,286.5,567.88,248.34,0.505
0.2,0.6,0.3576,0.3627,0.8849,0.3772,239.89,567.88,211.59,0.422
0.2,0.7,0.2973,0.3041,0.9021,0.3084,192.23,567.88,173.03,0.339
0.2,0.8,0.2255,0.2328,0.9264,0.2301,139.2,567.88,128.82,0.245
0.2,0.9,0.131,0.1296,0.9657,0.1317,76.29,567.88,73.69,0.134
0.3,0.1,0.4902,0.4809,0.5757,0.7887,501.1,370.5,287.06,1.353
0.3,0.2,0.4893,0.4921,0.613,0.7266,433.06,370.5,264.47,1.169
0.3,0.3,0.4811,0.4838,0.6452,0.6702,379.8,370.5,243.92,1.025
0.3,0.4,0.4636,0.4685,0.6738,0.6112,332.56,370.5,222.75,0.898
0.3,0.5,0.4386,0.4396,0.7035,0.5487,286.5,370.5,200.25,0.773
0.3,0.6,0.4052,0.4145,0.7369,0.4812,239.89,370.5,175.79,0.647
0.3,0.7,0.3606,0.375,0.776,0.4069,192.23,370.5,148.66,0.519
0.3,0.8,0.2964,0.3069,0.8324,0.3174,139.2,370.5,115.7,0.376
0.3,0.9,0.188,0.1904,0.9145,0.1917,76.29,370.5,69.8,0.206
0.4,0.1,0.3944,0.3861,0.4199,0.8752,501.1,237.91,208.92,2.106
0.4,0.2,0.4158,0.4201,0.4589,0.8272,433.06,237.91,197.72,1.82
0.4,0.3,0.4306,0.4409,0.4951,0.7811,379.8,237.91,186.85,1.596
0.4,0.4,0.4372,0.4489,0.5291,0.7296,332.56,237.91,174.6,1.398
0.4,0.5,0.4376,0.4463,0.5657,0.6719,286.5,237.91,160.75,1.204
0.4,0.6,0.4305,0.4414,0.6082,0.6063,239.89,237.91,144.89,1.008
0.4,0.7,0.4115,0.4113,0.6596,0.5296,192.23,237.91,126.32,0.808
0.4,0.8,0.3709,0.3656,0.7373,0.4311,139.2,237.91,102.53,0.585
0.4,0.9,0.2608,0.2402,0.8501,0.2742,76.29,237.91,64.93,0.321
0.5,0.1,0.3105,0.3118,0.3211,0.9154,501.1,174.31,159.67,2.875
0.5,0.2,0.3369,0.3405,0.3559,0.8779,433.06,174.31,153.29,2.484
0.5,0.3,0.3597,0.3674,0.3896,0.8415,379.8,174.31,147.04,2.179
0.5,0.4,0.3778,0.3895,0.4229,0.7988,332.56,174.31,139.57,1.908
0.5,0.5,0.3932,0.4067,0.4598,0.7491,286.5,174.31,130.73,1.644
0.5,0.6,0.4049,0.4065,0.5036,0.6895,239.89,174.31,120.11,1.376
0.5,0.7,0.4089,0.4054,0.5582,0.6165,192.23,174.31,107.06,1.103
0.5,0.8,0.3975,0.3985,0.6421,0.5173,139.2,174.31,89.44,0.799
0.5,0.9,0.3101,0.3069,0.772,0.3433,76.29,174.31,59.08,0.438
0.6,0.1,0.2411,0.2399,0.2461,0.9339,501.1,131.18,122.49,3.82
0.6,0.2,0.2659,0.2634,0.2751,0.9032,433.06,131.18,118.58,3.301
0.6,0.3,0.2889,0.2916,0.3038,0.8734,379.8,131.18,114.73,2.895
0.6,0.4,0.31,0.3165,0.3331,0.8381,332.56,131.18,110.06,2.535
0.6,0.5,0.3311,0.3376,0.3665,0.7958,286.5,131.18,104.34,2.184
0.6,0.6,0.3522,0.3551,0.407,0.7433,239.89,131.18,97.22,1.829
0.6,0.7,0.3709,0.3632,0.4585,0.6761,192.23,131.18,88.12,1.465
0.6,0.8,0.3833,0.3825,0.539,0.5803,139.2,131.18,75.27,1.061
0.6,0.9,0.3324,0.3412,0.6732,0.4002,76.29,131.18,51.68,0.582
0.7,0.1,0.1747,0.1732,0.1769,0.9439,501.1,93.28,88.11,5.372
0.7,0.2,0.1947,0.193,0.1988,0.9178,433.06,93.28,85.77,4.643
0.7,0.3,0.2142,0.2131,0.2209,0.8932,379.8,93.28,83.49,4.072
0.7,0.4,0.2335,0.2324,0.2442,0.8641,332.56,93.28,80.75,3.565
0.7,0.5,0.2546,0.2535,0.2712,0.8287,286.5,93.28,77.32,3.072
0.7,0.6,0.2781,0.2782,0.3047,0.7836,239.89,93.28,72.92,2.572
0.7,0.7,0.3039,0.2993,0.3484,0.7237,192.23,93.28,67.1,2.061
0.7,0.8,0.3329,0.3309,0.4181,0.6344,139.2,93.28,58.55,1.492
0.7,0.9,0.3257,0.3236,0.5431,0.4552,76.29,93.28,41.87,0.818
0.8,0.1,0.1127,0.1094,0.1134,0.9523,501.1,59.25,56.54,8.458
0.8,0.2,0.1267,0.1207,0.1281,0.9302,433.06,59.25,55.31,7.309
0.8,0.3,0.1407,0.1404,0.1431,0.9097,379.8,59.25,54.11,6.41
0.8,0.4,0.1553,0.155,0.1591,0.8859,332.56,59.25,52.67,5.613
0.8,0.5,0.172,0.1725,0.1781,0.8563,286.5,59.25,50.83,4.836
0.8,0.6,0.192,0.1924,0.202,0.8178,239.89,59.25,48.43,4.049
0.8,0.7,0.2165,0.2109,0.234,0.7653,192.23,59.25,45.16,3.245
0.8,0.8,0.2502,0.2453,0.2862,0.684,139.2,59.25,40.19,2.35
0.8,0.9,0.2783,0.2742,0.3863,0.5105,76.29,59.25,29.92,1.288
0.9,0.1,0.0487,0.0461,0.0488,0.9618,501.1,25.21,24.33,19.878
0.9,0.2,0.0552,0.0538,0.0554,0.944,433.06,25.21,23.91,17.179
0.9,0.3,0.0618,0.0606,0.0622,0.9277,379.8,25.21,23.51,15.066
0.9,0.4,0.0689,0.0685,0.0695,0.9087,332.56,25.21,23.02,13.192
0.9,0.5,0.0773,0.077,0.0783,0.885,286.5,25.21,22.38,11.365
0.9,0.6,0.088,0.0884,0.0896,0.8533,239.89,25.21,21.54,9.516
0.9,0.7,0.1022,0.1024,0.1052,0.8094,192.23,25.21,20.37,7.626
0.9,0.8,0.1248,0.1294,0.1313,0.7391,139.2,25.21,18.54,5.522
0.9,0.9,0.1616,0.1632,0.1853,0.5772,76.29,25.21,14.48,3.026
